ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,VolumeContinueKey.keys,VolumeContinueKey.rt,ResponseBox.text,MSTResp.keys,MSTResp.corr,MSTResp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,SoundFiles3,Correct,participant,session,date,expName,psychopyVersion,OS,frameRate,ExitKey.keys,ExitKey.rt
,,,,,,phone,3,1,0.58042,0,35,35,35,1,Test/Foils/Buzz.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,bear,3,1,0.704675,0,36,36,36,1,Initial/Doubled/Growl_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,hooter,1,1,1.324535,0,37,37,37,1,Test/Foils/Airhorn.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,chicken,3,1,1.22572,0,38,38,38,1,Initial/Doubled/Chicken_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,laughs,3,1,1.03625,0,39,39,39,1,Initial/Doubled/Laugh_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,writing machine,1,1,0.358795,0,40,40,40,1,Test/Foils/Typing.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,cough,3,1,1.20044,0,41,41,41,1,Initial/Doubled/Cough_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,clap,3,1,0.760385,0,42,42,42,1,Initial/Doubled/Clap_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,writing,1,1,1.055415,0,43,43,43,1,Initial/Doubled/Writing_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,eating,3,1,0.757685,0,44,44,44,1,Initial/Doubled/Chomp_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,motor,3,1,0.711415,0,45,45,45,1,Initial/Doubled/CarStart_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,firework,1,1,0.556945,0,46,46,46,1,Initial/NoRepeat/Fireworks.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,WC,3,1,0.647455,0,47,47,47,1,Initial/NoRepeat/Toilet_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,donkey,3,1,0.84577,0,48,48,48,1,Test/Foils/Donkey.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,helicopter,3,1,0.73116,0,49,49,49,1,Initial/NoRepeat/Helicopter_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,dog,3,1,1.217385,0,50,50,50,1,Initial/Doubled/Dog_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,wind,3,1,0.53833,0,51,51,51,1,Test/Foils/Wind_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,bell,1,1,0.527025,0,52,52,52,1,Initial/Doubled/Chime_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,laughs,2,1,0.60232,0,53,53,53,1,Laugh_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,cough,2,1,0.73576,0,54,54,54,1,Cough_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,phone,1,1,1.052555,0,55,55,55,1,Test/Foils/Buzz.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,duck,3,1,0.346085,0,56,56,56,1,Initial/NoRepeat/Duck_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,WC,1,1,0.70571,0,57,57,57,1,Initial/NoRepeat/Toilet_B.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,car,3,0,0.306825,0,58,58,58,1,CarStart_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,eating,2,1,0.304995,0,59,59,59,1,Chomp_B.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,clap,1,1,0.41147,0,60,60,60,1,Initial/Doubled/Clap_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,piping,2,0,0.269485,0,61,61,61,1,Initial/Repeat/Whistle_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,dog,2,1,0.536975,0,62,62,62,1,Dog_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,laughs,2,1,0.28779,0,63,63,63,1,Laugh_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,helicopter,1,1,0.25805,0,64,64,64,1,Initial/NoRepeat/Helicopter_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,cough,1,0,0.274975,0,65,65,65,1,Cough_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,hearth,3,1,0.235645,0,66,66,66,1,Test/Foils/Heartbeat.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,wind,2,0,1.04367,0,67,67,67,1,Test/Foils/Wind_B.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,car,2,1,0.28627,0,68,68,68,1,CarStart_B.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,eating,1,0,0.252775,0,69,69,69,1,Chomp_C.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,walking,3,1,0.25336,0,70,70,70,1,Initial/NoRepeat/Footsteps_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,phone,1,1,0.32954,0,71,71,71,1,Test/Foils/Buzz.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,gout,3,1,0.289695,0,72,72,72,1,Initial/NoRepeat/Droplet_B.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,guitar,3,1,0.33606,0,73,73,73,1,Initial/Doubled/Guitar_A.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,WC,1,1,0.35212,0,74,74,74,1,Initial/NoRepeat/Toilet_B.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,dog,2,1,0.3722,0,75,75,75,1,Dog_D.wav,2,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,clap,1,1,0.603425,0,76,76,76,1,Initial/Doubled/Clap_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,croag,3,1,0.413545,0,77,77,77,1,Test/Foils/Bullfrog.wav,3,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,wind,1,1,0.31964,0,78,78,78,1,Test/Foils/Wind_B.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,helicopter,1,1,0.62058,0,79,79,79,1,Initial/NoRepeat/Helicopter_A.wav,1,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,,
,,,,,,,,,,,,,,,,,,001,2021-01-07_22h13.30.140,GuessTheSound,2020.2.10,Win32,60,space,29.92695
